Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática
3451_1395_7103.py,10,8,8,0,2,2
3491_1395_5998.py,9,7,7,0,2,2
3451_1395_7109.py,9,9,9,0,0,2
3491_1395_7190.py,13,8,8,0,5,2
3451_1395_4646.py,10,9,9,0,1,2
3451_1395_3799.py,6,6,6,0,0,2
3451_1395_7171.py,11,6,6,1,4,2
3451_1395_7108.py,14,8,8,0,6,2
3451_1395_5664.py,10,6,6,0,4,3
3451_1395_2927.py,10,9,9,0,1,2
3451_1395_7185.py,8,8,8,0,0,2
3451_1395_5998.py,9,6,6,0,3,2
3451_1395_6493.py,7,7,7,0,0,2
3451_1395_7101.py,8,7,7,1,0,2
3451_1395_6165.py,9,8,8,0,1,2
3451_1395_7104.py,11,8,8,0,3,2
3451_1395_7188.py,6,5,5,0,1,2
3451_1395_7102.py,10,8,8,0,2,2
3451_1395_7107.py,11,7,7,0,4,2
3451_1395_7105.py,6,6,6,0,0,3
3451_1395_6026.py,8,7,7,0,1,2
3451_1395_7190.py,14,8,8,0,6,2
3491_1395_3799.py,6,6,6,0,0,2
3451_1395_7212.py,8,6,6,0,2,2
3451_1395_7229.py,8,6,6,0,2,2
chat_gpt.py,9,7,7,0,2,2
3451_1395_7106.py,11,10,10,0,1,2
3451_1395_7111.py,8,8,8,0,0,2
3451_1395_7112.py,10,8,8,0,2,3
3491_1395_7102.py,8,6,6,0,2,2
3451_1395_6615.py,12,10,10,0,2,2
3451_1395_7214.py,9,8,8,0,1,2
