Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática
3508_1487_3799.py,29,28,28,0,1,25
3508_1487_5664.py,37,28,28,0,9,17
3508_1487_4646.py,30,29,29,0,1,11
3508_1487_7185.py,53,31,31,0,22,11
3508_1487_7104.py,23,22,22,0,1,11
3508_1487_7188.py,31,30,30,0,1,18
3508_1487_7171.py,34,29,29,1,4,11
3508_1487_7112.py,29,24,24,0,5,11
3508_1487_5998.py,25,22,22,2,1,10
3508_1487_7111.py,26,24,24,0,2,19
3508_1487_7101.py,31,31,31,0,0,10
3508_1487_7109.py,32,29,29,0,3,10
3508_1487_7103.py,41,37,37,0,4,11
3508_1487_7102.py,37,28,28,0,9,11
3508_1487_6165.py,32,30,30,0,2,18
3508_1487_7229.py,30,29,29,0,1,11
3508_1487_7105.py,32,31,31,0,1,11
3508_1487_7106.py,29,20,20,0,9,10
3508_1487_7108.py,42,30,30,0,12,11
3508_1487_6615.py,21,21,21,0,0,19
chat_gpt.py,19,9,17,0,2,3
3508_1487_7107.py,33,22,22,0,11,11
3508_1487_7212.py,32,31,31,0,1,11
3508_1487_7190.py,30,23,23,0,7,10
3508_1487_7214.py,26,23,23,0,3,11
3508_1487_2927.py,31,30,30,0,1,11
