Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática,Número de Variáveis
3508_3056_7106.py,16,13,13,0,3,6,5
3508_3056_6615.py,0,0,0,0,0,0,0
3508_3056_7188.py,16,16,16,0,0,8,10
3508_3056_7185.py,29,16,16,0,13,8,10
3508_3056_7190.py,16,13,13,0,3,5,5
3508_3056_7214.py,20,15,15,0,5,5,10
3508_3056_3799.py,15,15,15,0,0,7,10
3508_3056_5664.py,15,10,10,0,5,7,5
3508_3056_5998.py,21,15,15,2,4,4,10
3508_3056_2927.py,16,15,15,0,1,8,5
3508_3056_7171.py,16,13,13,1,2,8,5
3508_3056_7109.py,14,14,14,0,0,5,5
3508_3056_7229.py,15,14,14,0,1,8,5
3508_3056_7103.py,21,21,21,0,0,8,13
3508_3056_7111.py,11,10,10,0,1,8,5
3508_3056_7105.py,11,10,10,0,1,8,5
3508_3056_7107.py,23,16,16,0,7,8,10
3508_3056_7112.py,18,18,18,0,0,7,13
3508_3056_7102.py,12,10,10,0,2,5,5
3508_3056_7104.py,25,21,21,0,4,8,13
3508_3056_7108.py,17,13,13,0,4,7,5
chat_gpt.py,40,36,36,0,4,9,20
3508_3056_6165.py,15,14,14,0,1,6,5
3508_3056_7212.py,14,13,13,0,1,8,5
3508_3056_7101.py,14,14,14,0,0,5,5
3508_3056_4646.py,18,16,16,0,2,8,5
