Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática
3342_1329_7104.py,4,4,4,0,0,1
3342_1329_7106.py,1,1,1,0,0,1
3342_1329_7109.py,5,4,4,0,1,1
3342_1329_7190.py,2,2,2,0,0,1
3342_1329_7107.py,4,3,3,0,1,1
3342_1329_7102.py,1,1,1,0,0,1
3342_1329_7185.py,4,4,4,0,0,1
3342_1329_7101.py,1,1,1,0,0,1
3342_1329_3799.py,1,1,1,0,0,1
3342_1329_7103.py,1,1,1,0,0,1
3342_1329_2927.py,1,1,1,0,0,1
3342_1329_7105.py,1,1,1,0,0,1
3342_1329_7108.py,1,1,1,0,0,1
3342_1329_6026.py,1,1,1,0,0,1
3342_1329_4646.py,1,1,1,0,0,1
3342_1329_7100.py,1,1,1,0,0,1
3342_1329_7112.py,1,1,1,0,0,1
3342_1329_6615.py,1,1,1,0,0,1
3342_1329_5998.py,1,1,1,0,0,1
chat_gpt.py,4,4,4,0,0,1
3342_1329_7212.py,1,1,1,0,0,1
3342_1329_7188.py,1,1,1,0,0,1
3342_1329_7111.py,1,1,1,0,0,1
3342_1329_7171.py,1,1,1,0,0,1
