Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática,Número de Variáveis
3342_3711_7111.py,6,3,3,2,1,1,2
3342_3711_7109.py,4,3,3,0,1,1,2
3342_3711_7101.py,2,2,2,0,0,1,1
3342_3711_6615.py,5,3,3,0,2,1,2
3342_3711_7103.py,3,3,3,0,0,1,2
3342_3711_7102.py,2,2,2,0,0,1,1
3342_3711_7108.py,3,3,3,0,0,1,2
3342_3711_7112.py,5,3,3,0,2,1,2
3342_3711_7105.py,3,3,3,0,0,1,2
3342_3711_5998.py,3,3,3,0,0,1,2
3342_3711_7171.py,3,3,3,0,0,1,2
3342_3711_7188.py,3,3,3,0,0,1,2
3342_3711_2927.py,2,2,2,0,0,1,1
3342_3711_7185.py,3,3,3,0,0,1,2
3342_3711_7100.py,1,1,1,0,0,1,0
3342_3711_4646.py,2,2,2,0,0,1,1
chat_gpt.py,3,3,3,0,0,1,2
3342_3711_6026.py,4,3,3,0,1,1,2
3342_3711_7106.py,3,3,3,0,0,1,2
3342_3711_3799.py,3,3,3,0,0,1,2
3342_3711_7190.py,4,3,3,0,1,1,2
3342_3711_7107.py,7,4,4,0,3,1,3
