Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática,Número de Variáveis
3357_1017_3799.py,11,8,8,3,0,1,6
3357_1017_7190.py,12,7,7,3,2,1,5
3357_1017_7100.py,13,8,8,0,5,1,6
3357_1017_7106.py,7,7,7,0,0,1,5
3357_1017_7111.py,16,8,8,5,3,1,6
3357_1017_6615.py,12,8,8,0,4,1,6
3357_1017_7103.py,12,8,8,3,1,1,6
3357_1017_7105.py,16,8,8,3,5,1,6
3357_1017_7188.py,11,8,8,0,3,1,6
3357_1017_7102.py,11,8,8,0,3,1,6
3357_1017_5998.py,13,9,9,3,1,1,7
3357_1017_7185.py,17,12,12,3,2,1,6
3357_1017_6119.py,12,8,8,0,4,1,6
3357_1017_5664.py,14,8,8,3,3,1,6
3357_1017_7109.py,17,9,8,0,2,1,6
3357_1017_7108.py,20,11,11,0,9,1,6
3357_1017_7104.py,11,8,8,0,3,1,6
3357_1017_4646.py,11,8,8,3,0,1,6
3357_1017_7229.py,19,8,8,0,11,1,6
3357_1017_7212.py,10,8,8,0,2,1,6
3357_1017_1226.py,8,8,8,0,0,1,6
3357_1017_7101.py,11,8,8,3,0,1,6
3357_1017_7214.py,13,7,7,3,3,1,5
3357_1017_6026.py,16,8,8,3,5,1,6
3357_1017_2927.py,13,8,8,3,2,1,6
3357_1017_7171.py,13,7,7,3,3,1,5
3357_1017_7112.py,14,8,8,0,6,1,6
chat_gpt.py,39,20,20,9,10,1,16
3357_1017_6165.py,14,8,8,3,3,1,6
3357_1017_7107.py,13,7,7,0,6,1,5
3357_1017_7187.py,17,8,8,3,6,1,6
