Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática
3738_2588_7111.py,14,11,11,0,3,4
3738_2588_5664.py,13,10,10,0,3,3
3738_2588_7185.py,18,8,8,2,9,4
3738_2588_7190.py,16,12,12,0,4,3
3738_2588_6615.py,11,11,11,0,0,3
3738_2588_7101.py,12,12,12,0,0,3
3738_2588_5998.py,13,11,11,0,2,3
3738_2588_7107.py,15,10,10,0,5,4
3738_2588_7102.py,17,11,11,0,6,3
3738_2588_7105.py,11,8,8,0,3,4
3738_2588_7214.py,13,11,11,0,2,4
3738_2588_7229.py,15,11,11,0,4,4
3738_2588_6165.py,13,10,10,0,3,4
3738_2588_7112.py,18,10,10,0,8,4
3738_2588_7106.py,15,10,10,0,5,4
3738_2588_7103.py,14,11,11,0,3,4
3738_2588_7212.py,15,10,10,0,5,4
3738_2588_4646.py,12,11,11,0,1,4
3738_2588_7188.py,12,11,11,0,1,3
3738_2588_7108.py,18,11,11,0,7,3
3738_2588_2927.py,12,10,10,0,2,4
chat_gpt.py,17,12,12,1,4,1
3738_2588_7171.py,15,11,11,1,3,4
3738_2588_3799.py,13,13,13,0,0,4
