Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática,Número de Variáveis
3738_3189_7190.py,29,22,22,0,7,6,14
3738_3189_7108.py,27,13,13,0,14,8,5
3738_3189_7107.py,30,22,22,0,8,4,13
3738_3189_7185.py,28,12,12,3,13,4,5
3738_3189_7171.py,28,20,20,4,7,6,12
3738_3189_7229.py,14,13,13,0,1,8,5
3738_3189_7105.py,29,23,23,0,6,5,14
3738_3189_7212.py,14,13,13,0,1,6,5
3738_3189_4646.py,23,14,14,0,9,8,6
3738_3189_5998.py,14,13,13,0,1,6,5
3738_3189_5664.py,17,14,14,0,3,6,6
3738_3189_2927.py,15,13,13,0,2,6,5
3738_3189_7188.py,14,13,13,0,1,8,5
3738_3189_7106.py,14,13,13,0,1,6,5
3738_3189_7102.py,20,13,13,0,7,6,5
3738_3189_7103.py,14,13,13,0,1,8,5
3738_3189_7214.py,14,13,13,0,1,6,5
chat_gpt.py,27,21,21,1,5,1,14
3738_3189_6615.py,20,19,19,0,1,7,11
3738_3189_3799.py,21,19,19,0,2,8,11
3738_3189_7111.py,15,13,13,0,2,6,5
3738_3189_6165.py,15,13,13,0,2,6,5
3738_3189_7112.py,21,14,14,0,7,6,6
3738_3189_7101.py,13,13,13,0,0,6,5
