Arquivo,LOC,LLOC,SLOC,Linhas de Comentário,Linhas em Branco,Complexidade Ciclomática,Número de Variáveis
3357_4236_6165.py,8,6,6,0,2,1,5
3357_4236_7102.py,12,9,9,0,3,1,8
3357_4236_7171.py,9,6,6,1,2,1,5
3357_4236_7188.py,7,6,6,0,1,1,5
3357_4236_7214.py,8,6,6,0,2,1,5
3357_4236_7212.py,8,6,6,0,2,1,5
3357_4236_4646.py,6,6,6,0,0,1,5
3357_4236_7109.py,6,6,6,0,0,1,5
3357_4236_3799.py,7,7,7,0,0,1,6
3357_4236_7101.py,11,6,6,5,0,1,5
3357_4236_7103.py,6,6,6,0,0,1,5
3357_4236_2927.py,6,6,6,0,0,1,5
3357_4236_5998.py,7,6,6,0,1,1,5
3357_4236_7105.py,8,6,6,0,2,1,5
3357_4236_7104.py,8,6,6,0,2,1,5
3357_4236_7111.py,10,6,6,2,2,1,5
3357_4236_7190.py,10,8,8,0,2,1,7
3357_4236_1226.py,6,6,6,0,0,1,5
3357_4236_7185.py,6,6,6,0,0,1,5
3357_4236_6615.py,8,6,6,0,2,1,5
3357_4236_5664.py,8,6,6,0,2,1,5
3357_4236_7187.py,16,11,11,0,5,1,10
3357_4236_7229.py,7,6,6,0,1,1,5
chat_gpt.py,18,11,11,3,4,1,10
3357_4236_7107.py,13,10,10,0,3,1,9
3357_4236_7108.py,9,7,7,0,2,1,5
3357_4236_6119.py,8,6,6,0,2,1,5
3357_4236_6026.py,8,6,6,0,2,1,5
3357_4236_7112.py,8,6,6,0,2,1,5
3357_4236_7106.py,13,11,11,0,2,1,10
3357_4236_7100.py,10,7,7,0,3,1,5
